Total hosts (including soft deleted): 296
--- DUPLICATES FOUND ---
DUPLICATE GROUP: mid:2-hostid:10777 count: 37
  -> Host: ID=48, Name=ACC2, MID=2, HostID=10786, DeletedAt={2026-02-28 13:55:29.954 +0800 CST true}
  -> Host: ID=56, Name=ACC2, MID=2, HostID=10786, DeletedAt={2026-02-28 13:55:29.83 +0800 CST true}
  -> Host: ID=64, Name=ACC2, MID=2, HostID=10786, DeletedAt={2026-02-28 13:55:29.739 +0800 CST true}
  -> Host: ID=72, Name=ACC2, MID=2, HostID=10786, DeletedAt={2026-02-28 13:55:29.636 +0800 CST true}
  -> Host: ID=80, Name=ACC2, MID=2, HostID=10786, DeletedAt={2026-02-28 13:55:29.539 +0800 CST true}
  -> Host: ID=88, Name=ACC2, MID=2, HostID=10786, DeletedAt={2026-02-28 13:55:29.457 +0800 CST true}
  -> Host: ID=96, Name=ACC2, MID=2, HostID=10786, DeletedAt={2026-02-28 13:55:29.385 +0800 CST true}
  -> Host: ID=104, Name=ACC2, MID=2, HostID=10786, DeletedAt={2026-02-28 13:55:29.322 +0800 CST true}
  -> Host: ID=112, Name=ACC2, MID=2, HostID=10786, DeletedAt={2026-02-28 13:56:11.059 +0800 CST true}
  -> Host: ID=120, Name=ACC2, MID=2, HostID=10786, DeletedAt={2026-02-28 13:56:11.011 +0800 CST true}
  -> Host: ID=128, Name=ACC2, MID=2, HostID=10786, DeletedAt={2026-02-28 14:19:37.704 +0800 CST true}
  -> Host: ID=136, Name=ACC2, MID=2, HostID=10786, DeletedAt={2026-02-28 14:19:37.5 +0800 CST true}
  -> Host: ID=144, Name=ACC2, MID=2, HostID=10786, DeletedAt={2026-02-28 14:19:37.424 +0800 CST true}
  -> Host: ID=152, Name=ACC2, MID=2, HostID=10786, DeletedAt={2026-02-28 14:19:37.294 +0800 CST true}
  -> Host: ID=160, Name=ACC2, MID=2, HostID=10786, DeletedAt={2026-02-28 14:19:37.167 +0800 CST true}
  -> Host: ID=168, Name=ACC2, MID=2, HostID=10786, DeletedAt={2026-02-28 14:19:36.893 +0800 CST true}
  -> Host: ID=176, Name=ACC2, MID=2, HostID=10786, DeletedAt={2026-02-28 14:19:36.793 +0800 CST true}
  -> Host: ID=184, Name=ACC2, MID=2, HostID=10786, DeletedAt={2026-02-28 14:19:36.682 +0800 CST true}
  -> Host: ID=192, Name=ACC2, MID=2, HostID=10786, DeletedAt={2026-02-28 14:19:36.551 +0800 CST true}
  -> Host: ID=200, Name=ACC2, MID=2, HostID=10786, DeletedAt={2026-02-28 14:19:36.42 +0800 CST true}
  -> Host: ID=208, Name=ACC2, MID=2, HostID=10786, DeletedAt={2026-02-28 14:19:36.323 +0800 CST true}
  -> Host: ID=216, Name=ACC2, MID=2, HostID=10786, DeletedAt={2026-02-28 14:30:11.074 +0800 CST true}
  -> Host: ID=224, Name=ACC2, MID=2, HostID=10786, DeletedAt={2026-02-28 14:30:10.92 +0800 CST true}
  -> Host: ID=232, Name=ACC2, MID=2, HostID=10786, DeletedAt={2026-02-28 14:30:10.691 +0800 CST true}
